iter	Passed	Remaining
545	2771	2304
546	2778	2300
547	2783	2296
548	2788	2290
549	2793	2285
550	2797	2279
551	2802	2274
552	2807	2269
553	2811	2263
554	2816	2258
555	2821	2253
556	2825	2247
557	2830	2242
558	2836	2237
559	2841	2232
560	2845	2227
561	2850	2221
562	2855	2216
563	2859	2210
564	2864	2205
565	2869	2200
566	2874	2195
567	2878	2189
568	2883	2184
569	2888	2179
570	2893	2174
571	2898	2168
572	2903	2163
573	2907	2157
574	2912	2152
575	2916	2147
576	2922	2142
577	2926	2136
578	2930	2130
579	2935	2125
580	2940	2120
581	2945	2115
582	2949	2110
583	2953	2104
584	2959	2099
585	2963	2093
586	2968	2088
587	2972	2083
588	2977	2077
589	2981	2072
590	2986	2066
591	2992	2062
592	2996	2056
593	3000	2050
594	3005	2045
595	3009	2039
596	3013	2034
597	3018	2028
598	3022	2023
599	3026	2017
600	3031	2012
601	3035	2006
602	3039	2001
603	3044	1996
604	3048	1990
605	3053	1984
606	3057	1979
607	3061	1973
608	3066	1968
609	3070	1963
610	3074	1957
611	3079	1952
612	3083	1946
613	3087	1940
614	3091	1935
615	3096	1929
616	3100	1924
617	3104	1919
618	3109	1913
619	3113	1908
620	3118	1903
621	3122	1897
622	3126	1892
623	3130	1886
624	3134	1880
625	3139	1875
626	3144	1870
627	3148	1865
628	3154	1860
629	3159	1855
630	3162	1849
631	3167	1844
632	3172	1839
633	3176	1833
634	3180	1828
635	3185	1823
636	3189	1817
637	3194	1812
638	3198	1807
639	3202	1801
640	3207	1796
641	3211	1790
642	3215	1785
643	3220	1780
644	3224	1774
645	3228	1769
646	3233	1764
647	3237	1758
648	3241	1753
649	3246	1748
650	3251	1743
651	3255	1737
652	3260	1732
653	3265	1727
654	3269	1721
655	3274	1716
656	3278	1711
657	3282	1705
658	3286	1700
659	3291	1695
660	3295	1690
661	3300	1685
662	3305	1680
663	3309	1674
664	3313	1669
665	3317	1663
666	3321	1658
667	3326	1653
668	3330	1647
669	3334	1642
670	3349	1642
671	3354	1637
672	3360	1633
673	3366	1628
674	3370	1622
675	3375	1617
676	3381	1613
677	3385	1608
678	3390	1602
679	3394	1597
680	3400	1592
681	3404	1587
682	3408	1581
683	3413	1576
684	3417	1571
685	3421	1566
686	3426	1561
687	3430	1555
688	3434	1550
689	3439	1545
690	3444	1540
691	3448	1534
692	3453	1529
693	3457	1524
694	3461	1519
695	3466	1514
696	3470	1508
697	3474	1503
698	3479	1498
699	3483	1492
700	3488	1487
701	3492	1482
702	3496	1477
703	3501	1472
704	3505	1466
705	3509	1461
706	3514	1456
707	3518	1451
708	3522	1445
709	3526	1440
710	3531	1435
711	3535	1429
712	3540	1424
713	3543	1419
714	3548	1414
715	3553	1409
716	3558	1404
717	3562	1399
718	3566	1393
719	3570	1388
720	3575	1383
721	3579	1378
722	3584	1373
723	3588	1367
724	3593	1362
725	3596	1357
726	3601	1352
727	3605	1347
728	3609	1341
729	3614	1336
730	3618	1331
731	3622	1326
732	3627	1321
733	3631	1315
734	3635	1310
735	3639	1305
736	3643	1300
737	3648	1295
738	3653	1290
739	3656	1284
740	3661	1279
741	3666	1274
742	3670	1269
